Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,اجمالي,coffee,milk,Condensed,Turkish,tea,Tea F,Cup 8,Cup 12,Cap tea,cap 16,cap 4,cap ias,Flavor Syrup,Cola,soda,Water,Vanilla Powder,Chocolate Powder,matcha,Kramer,White chocolate,Chocolate Sauce,Caramel Sauce,Raspberry,Peach Sauce,Mango Sauce,Strawberry Sauce,Passion Fruit,Oreo,Snickers,Pineapple juice,Orange juice,Manho juice,strawberry juice,Guava juice,Straw,Spoons,whipped cream,sugar,Bubba,honey,Vanilla Packet,milk albro,Pistacio,Unnamed: 77,Item.1,المبيعات,الوارد,القفل,الفعلي,(+-)
Coke-sprite-fanta-Schweppes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Mineral Water Small,193.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,,,,,,,,,,,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extra moka,17.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add sause chocletea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add sause carmel,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add sause rasbery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
add sause passion fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
add sause mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
add sause peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
add sause strawberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Boba mango smoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,0,,,,,0,,,,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,
Boba passion smoo,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,360,,,,,,,,,,3,,,,,75,,,,,,,,,,,90,,,,,,,,3,,,,150,,,,,,,,,,,
white chocolate 12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14,230,,,,,,1,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,
white chocolate frappe,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,21,360,,,,,,,,,,3,,,,,,,,,90,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
matcha frappe,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,800,,,,,,,,,,8,,,,,200,,400,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
matcha 8 oz,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,420,,,,,3,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,3,,6,,,3,,,,,,,,,
matcha12 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,
matcha 16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,
tea 8oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tea flavour 8oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5096,99.76,1730,0,21,0,139,206,21,47,43,519,12992,0,3,207,5725,1895,490,0,135,3180,1860,180,0,60,0,390,46,12,0,16,17,4,3,519,456,13,914,150,0,3,1600,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee ,milk,condensed ,Turkish,tea,Tea F,Cup 8,Cup 12,Cap tea,cap 16,cap 4,cap ias,Flavor Syrup,Cola,soda,Water,Vanilla Powder,Chocolate Powder,matcha,Kramer,White chocolate,Chocolate Sauce,Caramel Sauce,Raspberry ,Peach Sauce,Mango Sauce,Strawberry Sauce,Passion Fruit,Oreo ,Snickers,Pineapple juice,Orange juice ,Mango juice,strawberry juice,Guava juice,Straw,Spoons,whipped cream ,sugar,Bubba ,honey,Vanilla Packet,milk albro,Pistacio,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extra oreo,108.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puffs,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
